SampleID,144746,144747,144748,144749,144750,144751,144752,144753,144754,144755,144756,144757,144758,144759,144760,144761,144762,144763,144764,144765,144766,144767,144768,144769,144770,144771,144772,144773,144774,144775,144776,144777,144778,144779,144780,144781
144746,0,0.384896468,0.338611449,0.6015625,0.474090408,0.546571136,0.426383981,0.541666667,0.404907975,0.441952507,0.479809976,0.448051948,0.53956044,0.507407407,0.561786085,0.553513514,0.488810365,0.599388379,0.632819583,0.678851175,0.657195234,0.545997611,0.585641026,0.546275395,0.628398792,0.551445087,0.593340061,0.541912633,0.522727273,0.547646383,0.599400599,0.547169811,0.632885212,0.558628319,0.602829162,0.546979866
144747,0.384896468,0,0.250322581,0.540445487,0.510822511,0.436323367,0.516201117,0.439197166,0.492415403,0.520807062,0.443084455,0.51625,0.498863636,0.554753309,0.501632209,0.536853685,0.588039867,0.557550158,0.66190901,0.631006346,0.679057117,0.629251701,0.553797468,0.611713666,0.567195767,0.596392334,0.530222694,0.573255814,0.573255814,0.512426036,0.57025641,0.633403361,0.599147122,0.623804463,0.564679415,0.608836207
144748,0.338611449,0.250322581,0,0.538724374,0.527083333,0.462354189,0.508733624,0.449258837,0.490351873,0.515931373,0.434886499,0.507917174,0.503303965,0.570934256,0.499469777,0.506550218,0.568157034,0.54507772,0.663770634,0.622775801,0.680494263,0.598876404,0.539896373,0.594882729,0.561983471,0.588558856,0.518210198,0.573844419,0.567383918,0.495934959,0.532786885,0.613871636,0.582809224,0.602725367,0.544850498,0.586170213
144749,0.6015625,0.540445487,0.538724374,0,0.532657658,0.505580357,0.586711712,0.513095238,0.605263158,0.58974359,0.543134872,0.571794872,0.531764706,0.566709022,0.519863791,0.584459459,0.608796296,0.518900344,0.570140281,0.548484848,0.609045226,0.592317224,0.523321957,0.552757794,0.47318236,0.547707559,0.473255814,0.5875153,0.571782178,0.536464771,0.535476718,0.629464286,0.573563218,0.592165899,0.540048544,0.556872038
144750,0.474090408,0.510822511,0.527083333,0.532657658,0,0.32,0.458286986,0.516129032,0.469387755,0.498780488,0.493771234,0.487241798,0.554507338,0.52748538,0.562124248,0.633858268,0.560475162,0.609375,0.601436266,0.638888889,0.616438356,0.6030871,0.590729783,0.555075594,0.567951318,0.550611791,0.548743719,0.573806881,0.551296505,0.584499462,0.598455598,0.598969072,0.614141414,0.577287066,0.598739496,0.564893617
144751,0.546571136,0.436323367,0.462354189,0.505580357,0.32,0,0.523364486,0.431893688,0.541052632,0.565118913,0.475446429,0.545970488,0.510526316,0.581599124,0.523092369,0.581673307,0.615773509,0.570029383,0.617519514,0.597902098,0.628647215,0.628421053,0.529116466,0.595092025,0.514871795,0.578556263,0.491335372,0.593184239,0.574973031,0.553533191,0.55393586,0.652173913,0.583501006,0.620655412,0.575883576,0.605236657
144752,0.426383981,0.516201117,0.508733624,0.586711712,0.458286986,0.523364486,0,0.397111913,0.264,0.49682338,0.539863326,0.50375,0.556399132,0.523170732,0.575975359,0.607068607,0.539772727,0.612903226,0.649373882,0.696397942,0.656593407,0.5625,0.606458123,0.550561798,0.629145729,0.577097506,0.598393574,0.568287037,0.558275058,0.584357542,0.616748768,0.5625,0.613612565,0.55,0.588364435,0.547991071
144753,0.541666667,0.439197166,0.449258837,0.513095238,0.516129032,0.431893688,0.397111913,0,0.430992736,0.557598039,0.497055359,0.563329312,0.534292035,0.56888361,0.558455115,0.576307364,0.602185792,0.54718982,0.652329749,0.622383985,0.684968497,0.615296804,0.530982906,0.58121547,0.575026233,0.612222222,0.552083333,0.596351197,0.591533181,0.565415245,0.564681725,0.627760252,0.575135135,0.623940678,0.556933484,0.596966414
144754,0.404907975,0.492415403,0.490351873,0.605263158,0.469387755,0.541052632,0.264,0.430992736,0,0.472703063,0.520190024,0.482352941,0.565891473,0.510773131,0.6,0.582608696,0.502398082,0.636826043,0.672072072,0.716262976,0.676225717,0.586618877,0.637284701,0.583050847,0.657229525,0.584204413,0.629032258,0.561676647,0.546004843,0.546635183,0.636091725,0.601973684,0.659729448,0.607025247,0.61572536,0.578651685
