"Otu","Phylum","Class","Order","Family","Genus","Database","likelihood.weight"
"Otu372","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9766670105"
"Otu295","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9993320286"
"Otu234","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu449","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Tremateia","Unite",NA
"Otu421","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","1.0"
"Otu75","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9800850387"
"Otu183","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu262","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu872","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu194","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9731089116"
"Otu170","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu51","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu269","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Unite",NA
"Otu123","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9701250025"
"Otu220","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu71","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu101","Ascomycota","Dothideomycetes","Muyocopronales","Muyocopronaceae","Muyocopron","Unite",NA
"Otu117","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae","Antherospora","Unite",NA
"Otu195","Basidiomycota","Exobasidiomycetes","Ceraceosorales","Ceraceosoraceae","Ceraceosorus","Unite",NA
"Otu233","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu50","Choanozoa","Choanoflagellata","Craspedida","Salpingoecidae","Monosiga","Tbas","0.9997513782"
"Otu121","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9779339827"
"Otu205","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9799114517"
"Otu27","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae","Antherospora","Unite",NA
"Otu352","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu764","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9504822901"
"Otu197","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu437","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Unite",NA
"Otu18","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9620504312"
"Otu422","Zoopagomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Rhopalomyces","Tbas","0.9552826038"
"Otu797","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu739","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","Unite",NA
"Otu178","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae","Antherospora","Unite",NA
"Otu159","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu717","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9810516803"
"Otu244","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Albifimbria","Unite",NA
"Otu908","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Tubulicrinis","Unite",NA
"Otu448","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Achroiostachys","Tbas","0.9999999975"
"Otu537","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","0.9996314286"
"Otu337","Ascomycota","Ascomycota_cls_Incertae_sedis","Ascomycota_ord_Incertae_sedis","Ascomycota_fam_Incertae_sedis","Ascomycota_gen_Incertae_sedis","Unite",NA
"Otu731","Basidiomycota","Ustilaginomycetes","Urocystidales","Floromycetaceae","Antherospora","Unite",NA
"Otu453","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu181","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu855","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu868","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Cantharellus","Tbas","0.9852690113"
"Otu87","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9863231028"
"Otu440","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygotorulaspora","Unite",NA
"Otu202","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9775761281"
"Otu131","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu326","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu82","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu345","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","Unite",NA
"Otu562","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Unite",NA
"Otu112","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Unite",NA
"Otu334","Ascomycota","Dothideomycetes","Venturiales","Sympoventuriaceae","Sympoventuriaceae_gen_Incertae_sedis","Unite",NA
"Otu90","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu800","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu156","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu398","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu207","Basidiomycota","Pucciniomycetes","Pucciniales","Pucciniaceae","Puccinia","Tbas","0.9994162005"
"Otu854","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","1.0"
"Otu781","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Unite",NA
"Otu397","Ascomycota","Dothideomycetes","Dothideales","Dothideales_fam_Incertae_sedis","Hormonema","Unite",NA
"Otu344","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu6","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu247","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Unite",NA
"Otu166","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu798","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypocopra","Unite",NA
"Otu705","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudopithomyces","Unite",NA
"Otu155","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Unite",NA
"Otu776","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Unite",NA
"Otu783","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","0.9909536786"
"Otu442","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu275","Basidiomycota","Agaricomycetes","Trechisporales","Hydnodontaceae","Sistotremastrum","Unite",NA
"Otu714","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu767","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9999814989"
"Otu447","Ascomycota","Eurotiomycetes","Eurotiomycetes incertae sedis",".","Paracladophialophora","Tbas","0.9996593166"
"Otu650","Basidiomycota","Exobasidiomycetes","Exobasidiales","Brachybasidiaceae","Meira","Tbas","1.0"
"Otu296","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu223","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu882","Basidiomycota","Agaricomycetes","Cantharellales","Botryobasidiaceae","Botryobasidium","Tbas","1.0"
"Otu446","Chytridiomycota","Chytridiomycetes","Lobulomycetales","Lobulomycetaceae","Lobulomyces","Tbas","0.9997819138"
