"Otu","Phylum","Class","Order","Family","Genus","Database","likelihood.weight"
"Otu22","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Unite",NA
"Otu172","Ascomycota","Pezizomycotina_cls_Incertae_sedis","Pezizomycotina_ord_Incertae_sedis","Pezizomycotina_fam_Incertae_sedis","Melanophoma","Unite",NA
"Otu358","Ascomycota","Sordariomycetes","Amphisphaeriales","Apiosporaceae","Apiospora","Unite",NA
"Otu844","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu93","Ascomycota","Pezizomycetes","Pezizales","Morchellaceae","Morchella","Tbas","0.9999239383"
"Otu40","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu11","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu134","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu360","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Tbas","1.0"
"Otu2","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu528","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Leucoglossum","Unite",NA
"Otu445","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Anthracocystis","Unite",NA
"Otu362","Ascomycota","Dothideomycetes","Mycosphaerellales","Neodevriesiaceae","Neodevriesiaceae_gen_Incertae_sedis","Unite",NA
"Otu46","Ascomycota","Dothideomycetes","Mycosphaerellales","Neodevriesiaceae","Neodevriesiaceae_gen_Incertae_sedis","Unite",NA
"Otu243","Zoopagomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Rhopalomyces","Tbas","0.9919256451"
"Otu222","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Tbas","1.0"
"Otu218","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu59","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu237","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","Tbas","0.9983942558"
"Otu294","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Alfaria","Unite",NA
"Otu403","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Chrysozyma","Unite",NA
"Otu211","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Pseudoophiosphaerella","Unite",NA
"Otu210","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriaceae_gen_Incertae_sedis","Unite",NA
"Otu132","Zoopagomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Rhopalomyces","Tbas","0.9993201751"
"Otu33","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Unite",NA
"Otu142","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Unite",NA
"Otu239","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Unite",NA
"Otu276","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Toxicocladosporium","Unite",NA
"Otu282","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis","Unite",NA
"Otu217","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Stemphylium","Unite",NA
"Otu323","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","0.9991021686"
"Otu7","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu329","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectriaceae_gen_Incertae_sedis","Unite",NA
"Otu371","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Unite",NA
"Otu405","Basidiomycota","Ustilaginomycetes","Urocystidales","Urocystidaceae","Thecaphora","Tbas","0.9521048768"
"Otu226","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu381","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilaginaceae_gen_Incertae_sedis","Unite",NA
"Otu61","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu212","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygotorulaspora","Unite",NA
"Otu85","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu324","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu727","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu184","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Unite",NA
"Otu231","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Zygotorulaspora","Unite",NA
"Otu115","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Magnusiomyces","Tbas","0.9820139824"
"Otu383","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Montagnea","Unite",NA
"Otu279","Ascomycota","Dothideomycetes","Dothideomycetes_ord_Incertae_sedis","Pseudorobillardaceae","Pseudorobillarda","Unite",NA
"Otu435","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Letendraea","Unite",NA
"Otu423","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu126","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_fam_Incertae_sedis","Chaetothyriales_gen_Incertae_sedis","Unite",NA
"Otu341","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","Unite",NA
"Otu379","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","Unite",NA
"Otu251","Basidiomycota","Agaricomycetes","Jaapiales","Jaapiaceae","Jaapia","Tbas","0.9943315953"
"Otu718","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Unite",NA
"Otu39","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Anthracocystis","Unite",NA
"Otu261","Basidiomycota","Agaricomycetes","Agaricales","Omphalotaceae","Marasmiellus","Unite",NA
"Otu799","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","1.0"
"Otu120","Ascomycota","Dothideomycetes","Cladosporiales","Cladosporiaceae","Toxicocladosporium","Unite",NA
"Otu815","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","Unite",NA
"Otu263","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscyphaceae_gen_Incertae_sedis","Unite",NA
"Otu79","Ascomycota","Leotiomycetes","Helotiales","Discinellaceae","Articulospora","Unite",NA
"Otu307","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu409","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu774","Ascomycota","Sordariomycetes","Branch06","Branch06_fam_Incertae_sedis","Branch06_gen_Incertae_sedis","Unite",NA
"Otu36","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu852","Choanozoa","Choanoflagellata","Craspedida","Salpingoecidae","Monosiga","Tbas","0.9988637359"
"Otu655","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Glomerobolus","Unite",NA
"Otu21","Ascomycota","Dothideomycetes","Monoblastiales","Monoblastiaceae","Anisomeridium","Unite",NA
"Otu374","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilaginaceae_gen_Incertae_sedis","Unite",NA
"Otu174","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","0.9995938939"
"Otu89","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Galiicola","Tbas","0.9999996539"
"Otu283","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu203","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Agrocybe","Unite",NA
"Otu19","Ascomycota","Dothideomycetes","Monoblastiales","Monoblastiaceae","Anisomeridium","Unite",NA
"Otu225","Ascomycota","Dothideomycetes","Mytilinidiales","Mytilinidiaceae","Pseudocamaropycnis","Tbas","0.965984151"
"Otu865","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Austropleospora","Tbas","0.960158864"
"Otu74","Ascomycota","Lecanoromycetes","Ostropales","Stictidaceae","Glomerobolus","Unite",NA
"Otu47","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","Unite",NA
"Otu328","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unite",NA
"Otu411","Ascomycota","Dothideomycetes","Pleosporales","Periconiaceae","Periconia","Unite",NA
"Otu791","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscyphaceae_gen_Incertae_sedis","Unite",NA
"Otu241","Ascomycota","Dothideomycetes","Mycosphaerellales","Dissoconiaceae","Paradissoconium","Tbas","0.9815325854"
"Otu966","Ascomycota","Dothideomycetes","Botryosphaeriales","Saccharataceae","Saccharata","Unite",NA
"Otu933","Ascomycota","Sordariomycetes","Hypocreales","Niessliaceae","Niesslia","Unite",NA
"Otu400","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","0.9999252461"
"Otu169","Ascomycota","Dothideomycetes","Mycosphaerellales","Neodevriesiaceae","Neodevriesiaceae_gen_Incertae_sedis","Unite",NA
"Otu58","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phlebiopsis","Unite",NA
"Otu412","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu201","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Stachybotrys","Unite",NA
"Otu394","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","Unite",NA
"Otu849","Rozellomycota","Rozellomycotina_cls_Incertae_sedis","GS11","GS11_fam_Incertae_sedis","GS11_gen_Incertae_sedis","Unite",NA
"Otu83","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium","Tbas","1.0"
"Otu385","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","0.9999758682"
"Otu428","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu533","Basidiomycota","Microbotryomycetes","Microbotryomycetes_ord_Incertae_sedis","Chrysozymaceae","Chrysozyma","Unite",NA
"Otu157","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Unite",NA
"Otu408","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu551","Ascomycota","Dothideomycetes","Myriangiales","Elsinoaceae","Elsinoe","Tbas","1.0"
"Otu56","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","Unite",NA
"Otu388","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectriaceae_gen_Incertae_sedis","Unite",NA
"Otu215","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu167","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Diplodia","Unite",NA
"Otu553","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu737","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Kurtzmaniella","Unite",NA
"Otu281","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","Tbas","0.9664521172"
"Otu617","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Sarocladium","Tbas","1.0"
"Otu823","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Odontoefibula","Unite",NA
"Otu794","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","1.0"
"Otu761","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Hymenochaetaceae_gen_Incertae_sedis","Unite",NA
"Otu164","Basidiomycota","Agaricomycetes","Polyporales","Polyporales_fam_Incertae_sedis","Diplomitoporus","Unite",NA
"Otu771","Ascomycota","Sordariomycetes","Coniochaetales","Coniochaetaceae","Coniochaeta","Tbas","1.0"
"Otu778","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium","Unite",NA
"Otu69","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","0.9818337187"
"Otu100","Basidiomycota","Agaricomycetes","Russulales","Russulales_fam_Incertae_sedis","Russulales_gen_Incertae_sedis","Unite",NA
"Otu763","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu13","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu65","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Macalpinomyces","Unite",NA
"Otu801","Ascomycota","Geoglossomycetes","Geoglossales","Geoglossaceae","Leucoglossum","Unite",NA
"Otu54","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","1.0"
"Otu392","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","Unite",NA
"Otu368","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola","Tbas","1.0"
"Otu208","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Tbas","0.9955450703"
"Otu752","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Unite",NA
"Otu158","Ascomycota","Saccharomycetes","Saccharomycetales","Dipodascaceae","Magnusiomyces","Tbas","0.9934587107"
"Otu230","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium","Unite",NA
"Otu919","Unknown","Unknown","Unknown","Unknown","Unknown","Tbas.Unite",NA
"Otu944","Basidiomycota","Agaricomycetes","Hymenochaetales","Hyphodontiaceae","Kneiffiella","Unite",NA
"Otu804","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","0.9998656011"
"Otu516","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu790","Ascomycota","Sordariomycetes","Ophiostomatales","Ophiostomataceae","Graphilbum","Unite",NA
"Otu864","Basidiomycota","Agaricomycetes","Polyporales","Ganodermataceae","Ganoderma","Unite",NA
"Otu248","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","Unite",NA
"Otu870","Zoopagomycota","Zoopagomycetes","Zoopagales","Helicocephalidaceae","Rhopalomyces","Tbas","0.9819037289"
"Otu355","Ascomycota","Eurotiomycetes","Eurotiomycetes incertae sedis",".","Paracladophialophora","Tbas","0.9993769773"
"Otu144","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu25","Microsporidia","Microsporidia incertae sedis",".",".","Antonospora","Tbas","1.0"
"Otu415","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Boletus","Unite",NA
"Otu375","Unknown","Unknown","Unknown","Unknown","Unknown","Did not meet thresholds",NA
"Otu939","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Unite",NA
"Otu525","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Tbas","0.9698942892"
"Otu923","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipitaceae_gen_Incertae_sedis","Unite",NA
"Otu153","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Tbas","0.9999665639"
