"cOtu","Phylum","Class","Order","Family","Genus","SampleID","Host.genus","Species_final_nov24","Native.status","Native.status.fine","occurence"
"cOtu80","Basidiomycota","Cystobasidiomycetes","Cystobasidiomycetes incertae sedis","Symmetrosporaceae","Symmetrospora",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",3
"cOtu81","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Anthracocystis",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu81","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Anthracocystis",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu82","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu82","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu83","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Parasarocladium",144758,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu83","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Parasarocladium",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu83","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Parasarocladium",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu83","Ascomycota","Sordariomycetes","Hypocreales","Sarocladiaceae","Parasarocladium",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu84","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu85","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu85","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu86","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudocamarosporium",144764,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu86","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Pseudocamarosporium",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",4
"cOtu88","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu89","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Pyrenophora",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu90","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Kalmusia",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu90","Ascomycota","Dothideomycetes","Pleosporales","Massarinaceae","Pseudodidymosphaeria",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu91","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu91","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu92","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Xenodidymella",144758,"Setaria","Setaria.parviflora","Native","Native",2
"cOtu92","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Xenodidymella",144765,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu93","Basidiomycota","Tremellomycetes","Tremellales","Cuniculitremaceae","Kockovaella",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu94","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu95","Ascomycota","Sordariomycetes","Hypocreales","Ophiocordycipitaceae","Purpureocillium",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu96","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu97","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Dimorphoma",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu98","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu99","Basidiomycota","Ustilaginomycetes","Ustilaginales","Cintractiellaceae","Cintractiella",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu100","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144758,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu100","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",2
"cOtu101","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiaceae","Erythrobasidium",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu102","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Paraphaeosphaeria",144766,"Elionurus","Elionurus.tripsacoides","Native","Native",1
"cOtu103","Ascomycota","Dothideomycetes","Pleosporales","Teichosporaceae","Teichospora",144758,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu104","Basidiomycota","Agaricomycetes","Polyporales","Grifolaceae","Grifola",144759,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu105","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144759,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu106","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu106","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",144759,"Setaria","Setaria.parviflora","Native","Native",2
"cOtu107","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144759,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu108","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",144759,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu109","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Chiangraiomyces",144749,"Paspalum","Paspalum.plicatum","Native","Native",4
"cOtu109","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Chiangraiomyces",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu109","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Chiangraiomyces",144759,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu110","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144760,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu111","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu111","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu111","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144760,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu112","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula",144760,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu113","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144760,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu114","Ascomycota","Sordariomycetes","Xylariales","Apiosporaceae","Nigrospora",144760,"Setaria","Setaria.parviflora","Native","Native",1
"cOtu115","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Chiangraiomyces",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu116","Ascomycota","Dothideomycetes","Muyocopronales","Muyocopronaceae","Muyocopron",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu117","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae","Alfaria",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu118","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Exserohilum",144749,"Paspalum","Paspalum.plicatum","Native","Native",1
"cOtu119","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Sporidiobolus",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",3
"cOtu120","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Durotheca",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",2
"cOtu121","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Hannaella",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu122","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu123","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu123","Basidiomycota","Tremellomycetes","Tremellales","Trimorphomycetaceae","Saitozyma",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu124","Basidiomycota","Agaricomycetes","Agaricales","Schizophyllaceae","Henningsomyces",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu125","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria",144750,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu126","Ascomycota","Lichinomycetes","Lichinales","Lichinaceae","Lichinella",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu127","Basidiomycota","Tremellomycetes","Tremellales","Rhynchogastremataceae","Papiliotrema",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
"cOtu128","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","Phlebia",144751,"Urochloa","Urochloa.mosambicensis","Nonnative","Established",1
